INPUT:image_left	INPUT:image_right	OUTPUT:others	OUTPUT:result	GOLDEN:others	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:started	ASSIGNMENT:submitted
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_8_15.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_8_15.png		"{""Mantle"":true,""Tarsus"":true,""Primaries"":true,""Thigh"":true,""Scapulars"":true,""Rump"":true,""Iris"":true,""Head"":true,""Belly"":true,""Wattle"":true,""Breast"":true,""Throat"":true}"					000179ae16--60bcce418a92a13359c804c2	000179ae16--60bc7eebfe5d13225934e800	291364989e32aaa7571603700136c80d	2021-06-06T13:31:45.897	2021-06-06T13:31:54.477
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_4_9.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_4_9.png		"{""Tertials"":true,""Scapulars"":true,""Mantle"":true,""Iris"":true,""Beak"":true,""Belly"":true,""Flanks"":true,""Throat"":true,""Thigh"":true,""Feet"":true,""Tarsus"":true}"					000179ae16--60bcce4b78248827a6fee2d5	000179ae16--60bc7eebfe5d13225934e7f5	291364989e32aaa7571603700136c80d	2021-06-06T13:31:55.582	2021-06-06T13:32:03.884
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_16.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_16.png		"{""Lesser Coverts"":true,""Mantle"":true,""Primaries"":true,""Thigh"":true,""Feet"":true,""Throat"":true,""Breast"":true,""Belly"":true,""Head"":true,""Beak"":true,""Tertials"":true}"					000179ae16--60bcce5599211a6cb3a08dd7	000179ae16--60bc7eebfe5d13225934e7f7	291364989e32aaa7571603700136c80d	2021-06-06T13:32:05.396	2021-06-06T13:32:13.556
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_13.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_13.png		"{""Lesser Coverts"":true,""Thigh"":true,""Belly"":true,""Rump"":true,""Tibia"":true,""Feet"":true,""Tarsus"":true,""Wattle"":true,""Throat"":true,""Coverts"":true,""Iris"":true,""Beak"":true}"					000179ae16--60bcce5ef440ea68588ec4d9	000179ae16--60bc7eebfe5d13225934e7f6	291364989e32aaa7571603700136c80d	2021-06-06T13:32:14.885	2021-06-06T13:32:24.791
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_7_3.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_7_3.png		"{""Rump"":true,""Flanks"":true,""Feet"":true,""Tarsus"":true,""Tibio-tarsal articulation"":true,""Pupil"":true,""Beak"":true,""Scapulars"":true,""Tertials"":true,""Wattle"":true,""Breast"":true,""Throat"":true}"					000179ae16--60bcce6ac317463775e2a71e	000179ae16--60bc7eebfe5d13225934e7ff	291364989e32aaa7571603700136c80d	2021-06-06T13:32:26.588	2021-06-06T13:32:36.831
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_29.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_29.png		"{""Mantle"":true}"					000179ae16--60bce1047afbc056f693effc	000179ae16--60bc7eebfe5d13225934e7f9	a785f1cfaa4dd30ac8b0b195d61bfbe2	2021-06-06T14:51:48.514	2021-06-06T14:52:15.608
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_6_27.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_6_27.png		"{""Pupil"":true}"					000179ae16--60bce12183d01a0997cad6b5	000179ae16--60bc7eebfe5d13225934e7fd	a785f1cfaa4dd30ac8b0b195d61bfbe2	2021-06-06T14:52:17.595	2021-06-06T14:52:35.757
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_2.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_2.png		"{""Lesser Coverts"":true}"					000179ae16--60bce1362cf798441d1900d4	000179ae16--60bc7eebfe5d13225934e7f8	a785f1cfaa4dd30ac8b0b195d61bfbe2	2021-06-06T14:52:38.725	2021-06-06T14:52:49.492
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_7_3.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_7_3.png		"{""Head"":true}"					000179ae16--60bce15a319fec5a35fa4eae	000179ae16--60bc7eebfe5d13225934e7ff	a785f1cfaa4dd30ac8b0b195d61bfbe2	2021-06-06T14:53:14.849	2021-06-06T14:53:23.844
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_6_2.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_6_2.png		"{""Scapulars"":true}"					000179ae16--60bce1643c6ca8596db555f7	000179ae16--60bc7eebfe5d13225934e7fc	a785f1cfaa4dd30ac8b0b195d61bfbe2	2021-06-06T14:53:24.963	2021-06-06T14:53:32.791
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_6_3.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_6_3.png		"{""Beak"":true}"					000179ae16--60bce16e319fec5a35fa4fbb	000179ae16--60bc7eebfe5d13225934e7fe	a785f1cfaa4dd30ac8b0b195d61bfbe2	2021-06-06T14:53:34.506	2021-06-06T14:53:44.477
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_8_3.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_8_3.png		"{""Head"":true}"					000179ae16--60bce1797c5cbc71410cfe60	000179ae16--60bc7eebfe5d13225934e801	a785f1cfaa4dd30ac8b0b195d61bfbe2	2021-06-06T14:53:45.561	2021-06-06T14:53:55.549
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_8_31.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_8_31.png		"{""Vent"":true}"					000179ae16--60bce1852cf798441d190541	000179ae16--60bc7eebfe5d13225934e802	a785f1cfaa4dd30ac8b0b195d61bfbe2	2021-06-06T14:53:57.451	2021-06-06T14:54:08.223
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_4_9.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_4_9.png		"{""Lesser Coverts"":true}"					000179ae16--60bce19290429542be413228	000179ae16--60bc7eebfe5d13225934e7f5	a785f1cfaa4dd30ac8b0b195d61bfbe2	2021-06-06T14:54:10.313	2021-06-06T14:54:16.845
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_4_22.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_4_22.png		"{""Pupil"":true}"					000179ae16--60bce1994dc48f273e3b7da2	000179ae16--60bc7eebfe5d13225934e7f4	a785f1cfaa4dd30ac8b0b195d61bfbe2	2021-06-06T14:54:17.635	2021-06-06T14:54:27.299
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_4.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_4.png		"{""Lesser Coverts"":true}"					000179ae16--60bce1a5a2e4442f8538f1ce	000179ae16--60bc7eebfe5d13225934e7fb	a785f1cfaa4dd30ac8b0b195d61bfbe2	2021-06-06T14:54:29.731	2021-06-06T14:54:39.820
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_8_15.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_8_15.png		"{""Tibio-tarsal articulation"":true}"					000179ae16--60bce1b2c2e3f602529c5ff2	000179ae16--60bc7eebfe5d13225934e800	a785f1cfaa4dd30ac8b0b195d61bfbe2	2021-06-06T14:54:42.107	2021-06-06T14:54:49.892
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_16.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_16.png		"{""Coverts"":true}"					000179ae16--60bce1bb1e381301d7b03936	000179ae16--60bc7eebfe5d13225934e7f7	a785f1cfaa4dd30ac8b0b195d61bfbe2	2021-06-06T14:54:51.493	2021-06-06T14:54:58.975
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_13.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_13.png		"{""Mantle"":true}"					000179ae16--60bce1c4be2bd36caadab1d0	000179ae16--60bc7eebfe5d13225934e7f6	a785f1cfaa4dd30ac8b0b195d61bfbe2	2021-06-06T14:55:00.441	2021-06-06T14:55:07.480
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_31.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_31.png		"{""Scapulars"":true}"					000179ae16--60bce1ce90429542be413545	000179ae16--60bc7eebfe5d13225934e7fa	a785f1cfaa4dd30ac8b0b195d61bfbe2	2021-06-06T14:55:10.880	2021-06-06T14:55:22.967
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_4_9.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_4_9.png		"{""Beak"":true}"					000179ae16--60bcf5a1c317463775e4eac3	000179ae16--60bc7eebfe5d13225934e7f5	73f7cea75015d9faea369cd200af9b62	2021-06-06T16:19:45.448	2021-06-06T16:20:17.594
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_6_27.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_6_27.png		"{""Lesser Coverts"":true}"					000179ae16--60bcf5c31909760f1d89b3cb	000179ae16--60bc7eebfe5d13225934e7fd	73f7cea75015d9faea369cd200af9b62	2021-06-06T16:20:19.019	2021-06-06T16:20:33.134
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_4.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_4.png		"{""Flanks"":true}"					000179ae16--60bcf5d20b590b3e2fa39442	000179ae16--60bc7eebfe5d13225934e7fb	73f7cea75015d9faea369cd200af9b62	2021-06-06T16:20:34.486	2021-06-06T16:20:41.956
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_4_22.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_4_22.png		"{""Scapulars"":true}"					000179ae16--60bcf5db319fec5a35fb59f6	000179ae16--60bc7eebfe5d13225934e7f4	73f7cea75015d9faea369cd200af9b62	2021-06-06T16:20:43.216	2021-06-06T16:20:52.229
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_29.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_29.png		"{""Pupil"":true}"					000179ae16--60bcf5e50d84521c742e13ed	000179ae16--60bc7eebfe5d13225934e7f9	73f7cea75015d9faea369cd200af9b62	2021-06-06T16:20:53.910	2021-06-06T16:21:01.306
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_6_2.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_6_2.png		"{""Eyestripe"":true}"					000179ae16--60bcf5ee56e0ec582ad2fb4c	000179ae16--60bc7eebfe5d13225934e7fc	73f7cea75015d9faea369cd200af9b62	2021-06-06T16:21:02.764	2021-06-06T16:21:16.846
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_8_31.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_8_31.png		"{""Lesser Coverts"":true}"					000179ae16--60bd20770d84521c743062ac	000179ae16--60bc7eebfe5d13225934e802	3ec35749038f612101321e06c7e770d0	2021-06-06T19:22:31.726	2021-06-06T19:22:38.143
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_4_9.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_4_9.png		"{""Mantle"":true}"					000179ae16--60bd207f5bc69d7846340a74	000179ae16--60bc7eebfe5d13225934e7f5	3ec35749038f612101321e06c7e770d0	2021-06-06T19:22:39.205	2021-06-06T19:22:42.809
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_31.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_31.png		"{""Scapulars"":true}"					000179ae16--60bd20837c5cbc71410f9b78	000179ae16--60bc7eebfe5d13225934e7fa	3ec35749038f612101321e06c7e770d0	2021-06-06T19:22:43.912	2021-06-06T19:22:45.996
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_6_27.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_6_27.png		"{""Lesser Coverts"":true}"					000179ae16--60bd209d62f2586508d1fcdf	000179ae16--60bc7eebfe5d13225934e7fd	3ec35749038f612101321e06c7e770d0	2021-06-06T19:23:09.164	2021-06-06T19:23:12.997
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_29.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_29.png		"{""Tertials"":true}"					000179ae16--60bd20a11e56290330264e21	000179ae16--60bc7eebfe5d13225934e7f9	3ec35749038f612101321e06c7e770d0	2021-06-06T19:23:13.892	2021-06-06T19:23:16.316
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_8_15.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_8_15.png		"{""Lesser Coverts"":true}"					000179ae16--60bd20a54dc48f273e3e0282	000179ae16--60bc7eebfe5d13225934e800	3ec35749038f612101321e06c7e770d0	2021-06-06T19:23:17.297	2021-06-06T19:23:19.360
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_6_2.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_6_2.png		"{""Coverts"":true}"					000179ae16--60bd20a8f440ea685892135c	000179ae16--60bc7eebfe5d13225934e7fc	3ec35749038f612101321e06c7e770d0	2021-06-06T19:23:20.645	2021-06-06T19:23:22.669
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_6_3.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_6_3.png		"{""Coverts"":true}"					000179ae16--60bd20abc2e3f602529f7934	000179ae16--60bc7eebfe5d13225934e7fe	3ec35749038f612101321e06c7e770d0	2021-06-06T19:23:23.503	2021-06-06T19:23:25.380
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_8_3.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_8_3.png		"{""Scapulars"":true}"					000179ae16--60bd20aec317463775e72c4a	000179ae16--60bc7eebfe5d13225934e801	3ec35749038f612101321e06c7e770d0	2021-06-06T19:23:26.901	2021-06-06T19:23:28.670
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_4_22.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_4_22.png		"{""Coverts"":true}"					000179ae16--60bd20b1cd58ba6b3e435426	000179ae16--60bc7eebfe5d13225934e7f4	3ec35749038f612101321e06c7e770d0	2021-06-06T19:23:29.867	2021-06-06T19:23:31.589
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_4.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_4.png		"{""Tertials"":true}"					000179ae16--60bd20b4f440ea6858921394	000179ae16--60bc7eebfe5d13225934e7fb	3ec35749038f612101321e06c7e770d0	2021-06-06T19:23:32.953	2021-06-06T19:23:34.403
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_2.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_2.png		"{""Scapulars"":true}"					000179ae16--60bd20b70baf93026ae35402	000179ae16--60bc7eebfe5d13225934e7f8	3ec35749038f612101321e06c7e770d0	2021-06-06T19:23:35.561	2021-06-06T19:23:37.185
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_16.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_16.png		"{""Coverts"":true}"					000179ae16--60bd20ba78248827a60311b5	000179ae16--60bc7eebfe5d13225934e7f7	3ec35749038f612101321e06c7e770d0	2021-06-06T19:23:38.536	2021-06-06T19:23:40.266
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_13.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_13.png		"{""Tertials"":true}"					000179ae16--60bd20beabe5724111ec128a	000179ae16--60bc7eebfe5d13225934e7f6	3ec35749038f612101321e06c7e770d0	2021-06-06T19:23:42.778	2021-06-06T19:23:44.829
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_7_3.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_7_3.png		"{""Scapulars"":true}"					000179ae16--60bd20c1f33865758e9bac3d	000179ae16--60bc7eebfe5d13225934e7ff	3ec35749038f612101321e06c7e770d0	2021-06-06T19:23:45.929	2021-06-06T19:23:47.812
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_6_27.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_6_27.png		"{""Head"":true}"					000179ae16--60bd4c0d62f2586508d31677	000179ae16--60bc7eebfe5d13225934e7fd	8471965cb3e85f6935bdec48ce4ca0c7	2021-06-06T22:28:29.012	2021-06-06T22:28:40.512
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_13.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_13.png		"{""Flanks"":true}"					000179ae16--60bd4c1ae5851e2a55dc16f8	000179ae16--60bc7eebfe5d13225934e7f6	8471965cb3e85f6935bdec48ce4ca0c7	2021-06-06T22:28:42.590	2021-06-06T22:28:48.625
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_4_22.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_4_22.png		"{""Mantle"":true}"					000179ae16--60bd4c22be2bd36caadf6e6d	000179ae16--60bc7eebfe5d13225934e7f4	8471965cb3e85f6935bdec48ce4ca0c7	2021-06-06T22:28:50.045	2021-06-06T22:29:09.197
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_8_15.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_8_15.png		"{""Tertials"":true}"					000179ae16--60bd4c367c5cbc714110b040	000179ae16--60bc7eebfe5d13225934e800	8471965cb3e85f6935bdec48ce4ca0c7	2021-06-06T22:29:10.499	2021-06-06T22:29:13.826
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_29.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_29.png		"{""Mantle"":true}"					000179ae16--60bd4c3be5851e2a55dc1781	000179ae16--60bc7eebfe5d13225934e7f9	8471965cb3e85f6935bdec48ce4ca0c7	2021-06-06T22:29:15.007	2021-06-06T22:29:17.780
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_8_3.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_8_3.png		"{""Tertials"":true}"					000179ae16--60bd4c3f4f73891cd405e17e	000179ae16--60bc7eebfe5d13225934e801	8471965cb3e85f6935bdec48ce4ca0c7	2021-06-06T22:29:19.683	2021-06-06T22:29:22.086
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_4_9.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_4_9.png		"{""Scapulars"":true}"					000179ae16--60bd4c447afbc056f6983d6e	000179ae16--60bc7eebfe5d13225934e7f5	8471965cb3e85f6935bdec48ce4ca0c7	2021-06-06T22:29:24.193	2021-06-06T22:29:26.792
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_2.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_2.png		"{""Beak"":true}"					000179ae16--60bd4c47f33865758e9d697c	000179ae16--60bc7eebfe5d13225934e7f8	8471965cb3e85f6935bdec48ce4ca0c7	2021-06-06T22:29:27.651	2021-06-06T22:29:31.636
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_8_31.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_8_31.png		"{""Coverts"":true}"					000179ae16--60bd4c4c4dc48f273e3f2ef0	000179ae16--60bc7eebfe5d13225934e802	8471965cb3e85f6935bdec48ce4ca0c7	2021-06-06T22:29:32.717	2021-06-06T22:29:34.993
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_6_3.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_6_3.png		"{""Lesser Coverts"":true}"					000179ae16--60bd4c512cf798441d1d79ba	000179ae16--60bc7eebfe5d13225934e7fe	8471965cb3e85f6935bdec48ce4ca0c7	2021-06-06T22:29:37.260	2021-06-06T22:29:39.844
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_6_2.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_6_2.png		"{""Tertials"":true}"					000179ae16--60bd4c545bc69d7846359ef0	000179ae16--60bc7eebfe5d13225934e7fc	8471965cb3e85f6935bdec48ce4ca0c7	2021-06-06T22:29:40.740	2021-06-06T22:29:44.087
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_4.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_4.png		"{""Pupil"":true}"					000179ae16--60bd4c597afbc056f6983d9c	000179ae16--60bc7eebfe5d13225934e7fb	8471965cb3e85f6935bdec48ce4ca0c7	2021-06-06T22:29:45.215	2021-06-06T22:29:47.405
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_16.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_16.png		"{""Tertials"":true}"					000179ae16--60bd4c5dcd58ba6b3e44a792	000179ae16--60bc7eebfe5d13225934e7f7	8471965cb3e85f6935bdec48ce4ca0c7	2021-06-06T22:29:49.301	2021-06-06T22:29:52.618
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_7_3.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_7_3.png		"{""Mantle"":true}"					000179ae16--60bd4c62c317463775e92d4a	000179ae16--60bc7eebfe5d13225934e7ff	8471965cb3e85f6935bdec48ce4ca0c7	2021-06-06T22:29:54.755	2021-06-06T22:29:57.324
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_31.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_31.png		"{""Rump"":true}"					000179ae16--60bd4c677afbc056f6983dac	000179ae16--60bc7eebfe5d13225934e7fa	8471965cb3e85f6935bdec48ce4ca0c7	2021-06-06T22:29:59.087	2021-06-06T22:30:01.654
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_6_27.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_6_27.png		"{""Iris"":true}"					000179ae16--60bd7655c2e3f60252a21377	000179ae16--60bc7eebfe5d13225934e7fd	bcba6c1b21ebd59bce50b045e5dcacc5	2021-06-07T01:28:53.502	2021-06-07T01:29:14.842
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_29.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_29.png		"{""Head"":true}"					000179ae16--60bd766b3c6ca8596dbb2036	000179ae16--60bc7eebfe5d13225934e7f9	bcba6c1b21ebd59bce50b045e5dcacc5	2021-06-07T01:29:15.536	2021-06-07T01:29:29.129
												
/pilot/HarlequinDuckMale/original_harlequin_duck_male_batch_5_13.png	/pilot/HarlequinDuckMale/harlequin_duck_male_batch_5_13.png		"{""Tibia"":true,""Vent"":true,""Rump"":true,""Coverts"":true}"					000179ae16--60bd767a99211a6cb3a83c2a	000179ae16--60bc7eebfe5d13225934e7f6	bcba6c1b21ebd59bce50b045e5dcacc5	2021-06-07T01:29:30.153	2021-06-07T01:30:45.866
												
